,Expected Monthly Returns
TVIXF.US.Equity,0.2580655761833333
ARKK.US.Equity,0.011068329049999997
UPS.US.Equity,-0.0003038629000000006
TTWO.US.Equity,0.0032464885166666657
REMX.US.Equity,0.005755871416666666
FDN.US.Equity,-0.0005248677333333331
BLOK.US.Equity,0.004647286466666665
BOTZ.US.Equity,0.001041664033333334
SQQQ.US.Equity,0.0893923582
ITA.US.Equity,0.0009471301333333324
SHIO.US.Equity,-0.006516078083333331
CRM.US.Equity,-0.0014827292499999987
ADBE.US.Equity,-0.00791552373333333
DXCM.US.Equity,-0.006833670016666667
PYPL.US.Equity,0.0159739866
ZBRA.US.Equity,0.0029660321
XOP.US.Equity,0.012683568833333332
NULG.US.Equity,-0.0069420553
PG.US.Equity,-0.00740025265
XLV.US.Equity,-0.004531858783333334
